team,color,color2
New Mexico,#000000,#231f20
New Mexico State,#891216,#000000
New Orleans,#2b3986,#a2a9ae
Niagara,#69207E,#f0f0f0
Nicholls,#C41230,#f0f0f0
Norfolk State,#046546,#000000
North Alabama,#663399,#000000
North Carolina A&T,#0505aa,#004684
North Carolina Central,#880023,#c2c3c0
North Carolina,#99bfe5,#13294b
North Dakota,#00A26B,#c2c3c0
North Dakota State,#01402A,#ffffff
North Florida,#004B8D,#babcbe
North Texas,#00853D,#000000
Northeastern,#CC0001,#c2c3c0
Northern Arizona,#003976,#1b3069
Northern Colorado,#13558D,#ffc533
Northern Illinois,#F1122C,#cc0000
Northern Iowa,#473282,#ffffff
Northern Kentucky,#000000,#eab621
Northwestern State,#492F91,#ed6118
Northwestern,#372286,#d6cac1
Notre Dame,#00122b,#ae9142
Oakland,#04091c,#927e4d
Ohio,#295A29,#e4bb85
Ohio State,#de3129,#666666
Oklahoma,#7b0000,#cccccc
Oklahoma State,#FF6500,#ff9900
Old Dominion,#00507d,#a1d2f1
Ole Miss,#001148,#00205b
Omaha,#e3193e,#000000
Oral Roberts,#002955,#ccb48c
Oregon,#044520,#fee123
Oregon State,#c34500,#dea076
Pacific,#F47820,#c2c3c0
Penn State,#00265D,#002e5c
Pennsylvania,#082A74,#a6163d
Pepperdine,#003A72,#dc762f
Pittsburgh,#003263,#231f20
Portland,#0e034e,#f0f0f0
Portland State,#00311e,#ebebeb
Prairie View A&M,#4d0960,#000000
Presbyterian,#194896,#990134
Princeton,#ff9408,#080808
Providence,#000000,#7d8082
Purdue,#B89D29,#a4a9ad
Purdue Fort Wayne,#00378A,#f0f0f0
Quinnipiac,#041B43,#000000
Radford,#BC1515,#c2c3c0
Rhode Island,#091f3f,#5ab3e8
Rice,#003D7D,#d1d5d8
Richmond,#9e0712,#b90b2e
Rider,#a80532,#ebebeb
Robert Morris,#00214D,#a21d2b
Rutgers,#d21034,#ffffff
SE Louisiana,#007550,#dca008
SIU Edwardsville,#eb1c23,#080808
SMU,#E32F38,#ecdcb9
Sacramento State,#00573C,#cdb97d
Sacred Heart,#a40012,#c29472
Saint Joseph's,#C2071B,#101010
Saint Louis,#00539C,#ebebeb
Saint Mary's,#003768,#d02f35
Saint Peter's,#004CC2,#000000
Sam Houston State,#fe5000,#000000
Samford,#005485,#bc0023
San Diego State,#BF2C37,#a8996e
