team,team_id,mascot,nickname,abbreviation,display_name,short_name,logo,logo_dark,lng,lat,conference
UT Arlington,250,Mavericks,UT Arlington,UTA,UT Arlington Mavericks,UT Arlington,https://a.espncdn.com/i/teamlogos/ncaa/500/250.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/250.png,-97.12668,32.7293,Sun Belt Conference
North Dakota,155,Fighting Hawks,North Dakota,UND,North Dakota Fighting Hawks,North Dakota,https://a.espncdn.com/i/teamlogos/ncaa/500/155.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/155.png,-97.09614,47.92976,The Summit League[r]
Oklahoma State,197,Cowboys,Oklahoma State,OKST,Oklahoma State Cowboys,Oklahoma State,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/197.png,-97.08079,36.12412,Big 12 Conference
Baylor,239,Bears,Baylor,BAY,Baylor Bears,Baylor,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png,-97.07924,31.63432,Big 12 Conference
South Dakota,233,Coyotes,South Dakota,SDAK,South Dakota Coyotes,South Dakota,https://a.espncdn.com/i/teamlogos/ncaa/500/233.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/233.png,-96.92421,42.78472,The Summit League[k]
North Dakota State,2449,Bison,North Dakota St,NDSU,North Dakota State Bison,North Dakota St,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2449.png,-96.83417,46.86983,The Summit League[k]
South Dakota State,2571,Jackrabbits,South Dakota St,SDST,South Dakota State Jackrabbits,South Dakota St,https://a.espncdn.com/i/teamlogos/ncaa/500/2571.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2571.png,-96.78839,44.31941,The Summit League[k]
SMU,2567,Mustangs,SMU,SMU,SMU Mustangs,SMU,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2567.png,-96.78083,32.8404,American Athletic Conference
Nebraska,158,Cornhuskers,Nebraska,NEB,Nebraska Cornhuskers,Nebraska,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/158.png,-96.70057,40.81752,Big Ten Conference
Kansas State,2306,Wildcats,Kansas State,KSU,Kansas State Wildcats,Kansas State,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2306.png,-96.58189,39.19252,Big 12 Conference
