team,team_id,mascot,nickname,abbreviation,display_name,short_name,logo,logo_dark,lng,lat,conference
Valparaiso,2674,,Valparaiso,VALP,Valparaiso,Valparaiso,https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2674.png,-87.04364,41.46254,Missouri Valley Conference[c]
Purdue,2509,Boilermakers,Purdue,PUR,Purdue Boilermakers,Purdue,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2509.png,-86.93668,40.41226,Big Ten Conference
UAB,5,Blazers,UAB,UAB,UAB Blazers,UAB,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/5.png,-86.80249,33.52066,Conference USA
Samford,2535,Bulldogs,Samford,SAM,Samford Bulldogs,Samford,https://a.espncdn.com/i/teamlogos/ncaa/500/2535.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2535.png,-86.80082,33.47177,Southern Conference
Belmont,2057,Bruins,Belmont,BEL,Belmont Bruins,Belmont,https://a.espncdn.com/i/teamlogos/ncaa/500/2057.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2057.png,-86.78694,36.16339,Ohio Valley Conference
Lipscomb,288,Bisons,Lipscomb,LIP,Lipscomb Bisons,Lipscomb,https://a.espncdn.com/i/teamlogos/ncaa/500/288.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/288.png,-86.78694,36.16339,ASUN Conference
Tennessee State,2634,Tigers,Tennessee State,TNST,Tennessee State Tigers,Tennessee State,https://a.espncdn.com/i/teamlogos/ncaa/500/2634.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2634.png,-86.78694,36.16339,Ohio Valley Conference
Vanderbilt,238,Commodores,Vanderbilt,VAN,Vanderbilt Commodores,Vanderbilt,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/238.png,-86.78694,36.16339,Southeastern Conference
Alabama A&M,2010,Bulldogs,Alabama A&M,AAMU,Alabama A&M Bulldogs,Alabama A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2010.png,-86.58594,34.7304,Southwestern Athletic Conference
Indiana,84,Hoosiers,Indiana,IU,Indiana Hoosiers,Indiana,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/84.png,-86.53412,39.18325,Big Ten Conference
Western Kentucky,98,Hilltoppers,Western KY,WKU,Western Kentucky Hilltoppers,Western KY,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/98.png,-86.45166,36.98754,Conference USA
Middle Tennessee,2393,Blue Raiders,Middle Tenn,MTU,Middle Tennessee Blue Raiders,Middle Tenn,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2393.png,-86.36999,35.85229,Conference USA
Alabama State,2011,Hornets,Alabama State,ALST,Alabama State Hornets,Alabama State,https://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2011.png,-86.29997,32.36681,Southwestern Athletic Conference
Notre Dame,87,Fighting Irish,Notre Dame,ND,Notre Dame Fighting Irish,Notre Dame,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/87.png,-86.22192,41.66532,Atlantic Coast Conference[s]
Butler,2086,Bulldogs,Butler,BUT,Butler Bulldogs,Butler,https://a.espncdn.com/i/teamlogos/ncaa/500/2086.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2086.png,-86.18527,39.77643,Big East Conference[c]
IUPUI,85,Jaguars,IUPUI,IUPU,IUPUI Jaguars,IUPUI,https://a.espncdn.com/i/teamlogos/ncaa/500/85.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/85.png,-86.18527,39.77643,Horizon League
Troy,2653,Trojans,Troy,TROY,Troy Trojans,Troy,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png,-85.96995,31.80877,Sun Belt Conference
Jacksonville State,55,Gamecocks,Jacksonville St,JVST,Jacksonville State Gamecocks,Jacksonville St,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/55.png,-85.7613,33.81382,Ohio Valley Conference[e]
Bellarmine,91,Knights,Bellarmine,BELL,Bellarmine Knights,Bellarmine,https://a.espncdn.com/i/teamlogos/ncaa/500/91.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/91.png,-85.741907,38.200243,ASUN Conference
Western Michigan,2711,Broncos,W Michigan,WMU,Western Michigan Broncos,W Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2711.png,-85.60056,42.2906,Mid-American Conference
Louisville,97,Cardinals,Louisville,LOU,Louisville Cardinals,Louisville,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/97.png,-85.58274,38.25368,Atlantic Coast Conference
Tennessee Tech,2635,Golden Eagles,Tennessee Tech,TNTC,Tennessee Tech Golden Eagles,Tennessee Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/2635.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2635.png,-85.5245,36.14464,Ohio Valley Conference
Auburn,2,Tigers,Auburn,AUB,Auburn Tigers,Auburn,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2.png,-85.48078,32.60986,Southeastern Conference
Ball State,2050,Cardinals,Ball State,BALL,Ball State Cardinals,Ball State,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2050.png,-85.41247,40.19949,Mid-American Conference
Chattanooga,236,Mocs,Chattanooga,UTC,Chattanooga Mocs,Chattanooga,https://a.espncdn.com/i/teamlogos/ncaa/500/236.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/236.png,-85.30024,35.04619,Southern Conference
Purdue Fort Wayne,2870,Mastodons,Purdue FW,PFW,Purdue Fort Wayne Mastodons,Purdue FW,https://a.espncdn.com/i/teamlogos/ncaa/500/2870.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2870.png,-85.09719,41.11672,Horizon League
Miami (OH),193,Redhawks,Miami (OH),M-OH,Miami (OH) Redhawks,Miami (OH),https://a.espncdn.com/i/teamlogos/ncaa/500/193.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/193.png,-84.78263,39.50727,Mid-American Conference
Central Michigan,2117,Chippewas,Cent Michigan,CMU,Central Michigan Chippewas,Cent Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2117.png,-84.76917,43.58028,Mid-American Conference
Kennesaw State,338,Owls,Kennesaw State,KENN,Kennesaw State Owls,Kennesaw State,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/338.png,-84.5265,33.96119,ASUN Conference[l]
Cincinnati,2132,Bearcats,Cincinnati,CIN,Cincinnati Bearcats,Cincinnati,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2132.png,-84.51633,39.13145,American Athletic Conference
Xavier,2752,Musketeers,Xavier,XAV,Xavier Musketeers,Xavier,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2752.png,-84.51633,39.13145,Big East Conference
Kentucky,96,Wildcats,Kentucky,UK,Kentucky Wildcats,Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/96.png,-84.49938,38.03036,Southeastern Conference
Michigan State,127,Spartans,Michigan State,MSU,Michigan State Spartans,Michigan State,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/127.png,-84.48949,42.72536,Big Ten Conference
Northern Kentucky,94,Norse,N Kentucky,NKU,Northern Kentucky Norse,N Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/94.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/94.png,-84.46444,39.03111,Horizon League
Georgia State,2247,Panthers,Georgia State,GAST,Georgia State Panthers,Georgia State,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2247.png,-84.3859,33.75357,Sun Belt Conference
Georgia Tech,59,Yellow Jackets,Georgia Tech,GT,Georgia Tech Yellow Jackets,Georgia Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/59.png,-84.3859,33.75357,Atlantic Coast Conference
Dayton,2168,Flyers,Dayton,DAY,Dayton Flyers,Dayton,https://a.espncdn.com/i/teamlogos/ncaa/500/2168.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2168.png,-84.32543,39.85624,Atlantic 10 Conference[c]
Eastern Kentucky,2198,Colonels,E Kentucky,EKU,Eastern Kentucky Colonels,E Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2198.png,-84.3016,37.73814,Ohio Valley Conference[e]
Florida A&M,50,Rattlers,Florida A&M,FAMU,Florida A&M Rattlers,Florida A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/50.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/50.png,-84.29712,30.4502,Mid-Eastern Athletic Conference[b]
Florida State,52,Seminoles,Florida State,FSU,Florida State Seminoles,Florida State,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/52.png,-84.29712,30.4502,Atlantic Coast Conference
Wright State,2750,Raiders,Wright State,WRST,Wright State Raiders,Wright State,https://a.espncdn.com/i/teamlogos/ncaa/500/2750.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2750.png,-84.06355,39.78367,Horizon League
Tennessee,2633,Volunteers,Tennessee,TENN,Tennessee Volunteers,Tennessee,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2633.png,-84.04764,35.92372,Southeastern Conference
Siena,2561,Saints,Siena,SIE,Siena Saints,Siena,https://a.espncdn.com/i/teamlogos/ncaa/500/2561.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2561.png,-84.01467,41.90616,Metro Atlantic Athletic Conference
Toledo,2649,Rockets,Toledo,TOL,Toledo Rockets,Toledo,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2649.png,-83.79079,41.60103,Mid-American Conference
Michigan,130,Wolverines,Michigan,MICH,Michigan Wolverines,Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/130.png,-83.73605,42.27587,Big Ten Conference
Bowling Green,189,Falcons,Bowling Green,BGSU,Bowling Green Falcons,Bowling Green,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/189.png,-83.64625,41.45785,Mid-American Conference
Mercer,2382,Bears,Mercer,MER,Mercer Bears,Mercer,https://a.espncdn.com/i/teamlogos/ncaa/500/2382.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png,-83.6365,32.83423,Southern Conference
Eastern Michigan,2199,Eagles,E Michigan,EMU,Eastern Michigan Eagles,E Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2199.png,-83.62272,42.24698,Mid-American Conference
Morehead State,2413,Eagles,Morehead State,MORE,Morehead State Eagles,Morehead State,https://a.espncdn.com/i/teamlogos/ncaa/500/2413.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2413.png,-83.435,38.18575,Ohio Valley Conference[c]
Georgia,61,Bulldogs,Georgia,UGA,Georgia Bulldogs,Georgia,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png,-83.37794,33.96095,Southeastern Conference
Oakland,2473,Golden Grizzlies,Oakland,OAK,Oakland Golden Grizzlies,Oakland,https://a.espncdn.com/i/teamlogos/ncaa/500/2473.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2473.png,-83.21771,42.67587,Horizon League
Western Carolina,2717,Catamounts,W Carolina,WCU,Western Carolina Catamounts,W Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/2717.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2717.png,-83.18181,35.31093,Southern Conference
Ohio State,194,Buckeyes,Ohio State,OSU,Ohio State Buckeyes,Ohio State,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png,-82.99879,39.96118,Big Ten Conference
Clemson,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png,-82.83875,34.67788,Atlantic Coast Conference
UNC Asheville,2427,Bulldogs,UNC Asheville,UNCA,UNC Asheville Bulldogs,UNC Asheville,https://a.espncdn.com/i/teamlogos/ncaa/500/2427.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2427.png,-82.56526,35.61662,Big South Conference
South Florida,58,Bulls,South Florida,USF,South Florida Bulls,South Florida,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/58.png,-82.41537,28.06263,American Athletic Conference
Furman,231,Paladins,Furman,FUR,Furman Paladins,Furman,https://a.espncdn.com/i/teamlogos/ncaa/500/231.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/231.png,-82.40179,34.84178,Southern Conference
Marshall,276,Thundering Herd,Marshall,MRSH,Marshall Thundering Herd,Marshall,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/276.png,-82.3747,38.41031,Conference USA
East Tennessee State,2193,Buccaneers,ETSU,ETSU,East Tennessee State Buccaneers,ETSU,https://a.espncdn.com/i/teamlogos/ncaa/500/2193.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2193.png,-82.36903,36.30344,Southern Conference
Florida,57,Gators,Florida,FLA,Florida Gators,Florida,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/57.png,-82.3544,29.71163,Southeastern Conference
Ohio,195,Bobcats,Ohio,OHIO,Ohio Bobcats,Ohio,https://a.espncdn.com/i/teamlogos/ncaa/500/195.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/195.png,-82.10931,39.32007,Mid-American Conference
South Carolina Upstate,2908,Spartans,SC Upstate,SCUP,South Carolina Upstate Spartans,SC Upstate,https://a.espncdn.com/i/teamlogos/ncaa/500/2908.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2908.png,-81.97011,34.99512,Big South Conference
Wofford,2747,Terriers,Wofford,WOF,Wofford Terriers,Wofford,https://a.espncdn.com/i/teamlogos/ncaa/500/2747.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2747.png,-81.97011,34.99512,Southern Conference
Presbyterian,2506,Blue Hose,Presbyterian,PRES,Presbyterian Blue Hose,Presbyterian,https://a.espncdn.com/i/teamlogos/ncaa/500/2506.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2506.png,-81.87843,34.46429,Big South Conference[t]
Florida Gulf Coast,526,Eagles,FGCU,FGCU,Florida Gulf Coast Eagles,FGCU,https://a.espncdn.com/i/teamlogos/ncaa/500/526.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/526.png,-81.79207,26.55311,ASUN Conference
Georgia Southern,290,Eagles,GA Southern,GASO,Georgia Southern Eagles,GA Southern,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/290.png,-81.78345,32.42546,Sun Belt Conference
Akron,2006,Zips,Akron,AKR,Akron Zips,Akron,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png,-81.72597,41.04795,Mid-American Conference
Appalachian State,2026,Mountaineers,Appalachian St,APP,Appalachian State Mountaineers,Appalachian St,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png,-81.68039,36.21457,Sun Belt Conference
Jacksonville,294,Dolphins,Jacksonville,JAX,Jacksonville Dolphins,Jacksonville,https://a.espncdn.com/i/teamlogos/ncaa/500/294.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/294.png,-81.66438,30.34835,ASUN Conference
North Florida,2454,Ospreys,North Florida,UNF,North Florida Ospreys,North Florida,https://a.espncdn.com/i/teamlogos/ncaa/500/2454.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2454.png,-81.66438,30.34835,ASUN Conference
Cleveland State,325,Vikings,Cleveland State,CLEV,Cleveland State Vikings,Cleveland State,https://a.espncdn.com/i/teamlogos/ncaa/500/325.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/325.png,-81.61846,41.43783,Horizon League
UCF,2116,Knights,UCF,UCF,UCF Knights,UCF,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2116.png,-81.37924,28.53834,American Athletic Conference
Kent State,2309,Golden Flashes,Kent State,KENT,Kent State Golden Flashes,Kent State,https://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2309.png,-81.33844,41.14783,Mid-American Conference
Stetson,56,Hatters,Stetson,STET,Stetson Hatters,Stetson,https://a.espncdn.com/i/teamlogos/ncaa/500/56.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/56.png,-81.31726,29.04371,ASUN Conference[c]
South Carolina,2579,Gamecocks,South Carolina,SC,South Carolina Gamecocks,South Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2579.png,-81.02648,33.99904,Southeastern Conference
South Carolina State,2569,Bulldogs,SC State,SCST,South Carolina State Bulldogs,SC State,https://a.espncdn.com/i/teamlogos/ncaa/500/2569.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2569.png,-80.85565,33.49182,Mid-Eastern Athletic Conference
Charlotte,2429,49ers,Charlotte,CHAR,Charlotte 49ers,Charlotte,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2429.png,-80.73201,35.30514,Conference USA
Youngstown State,2754,Penguins,Youngstown St,YSU,Youngstown State Penguins,Youngstown St,https://a.espncdn.com/i/teamlogos/ncaa/500/2754.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2754.png,-80.66594,41.15325,Horizon League[k]
Radford,2515,Highlanders,Radford,RAD,Radford Highlanders,Radford,https://a.espncdn.com/i/teamlogos/ncaa/500/2515.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2515.png,-80.5495,37.13902,Big South Conference
Florida International,2229,Panthers,Florida Int'l,FIU,Florida International Panthers,Florida Int'l,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2229.png,-80.37416,25.78145,Conference USA
Miami (FL),2390,Hurricanes,Miami,MIA,Miami Hurricanes,Miami,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2390.png,-80.27866,25.71955,Atlantic Coast Conference
Wake Forest,154,Demon Deacons,Wake Forest,WAKE,Wake Forest Demon Deacons,Wake Forest,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/154.png,-80.27727,36.13347,Atlantic Coast Conference
Davidson,2166,Wildcats,Davidson,DAV,Davidson Wildcats,Davidson,https://a.espncdn.com/i/teamlogos/ncaa/500/2166.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2166.png,-80.13103,35.84277,Atlantic 10 Conference[c]
Florida Atlantic,2226,Owls,FAU,FAU,Florida Atlantic Owls,FAU,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2226.png,-80.1035,26.3731,Conference USA
Charleston Southern,2127,Buccaneers,Charleston So,CHSO,Charleston Southern Buccaneers,Charleston So,https://a.espncdn.com/i/teamlogos/ncaa/500/2127.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2127.png,-80.0725,32.98129,Big South Conference
High Point,2272,Panthers,High Point,HP,High Point Panthers,High Point,https://a.espncdn.com/i/teamlogos/ncaa/500/2272.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2272.png,-79.99365,35.97208,Big South Conference
Duquesne,2184,Dukes,Duquesne,DUQ,Duquesne Dukes,Duquesne,https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2184.png,-79.985,40.43615,Atlantic 10 Conference[g]
Pittsburgh,221,Panthers,Pittsburgh,PITT,Pittsburgh Panthers,Pittsburgh,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/221.png,-79.985,40.43615,Atlantic Coast Conference
Charleston,232,Cougars,Charleston,COFC,Charleston Cougars,Charleston,https://a.espncdn.com/i/teamlogos/ncaa/500/232.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/232.png,-79.96013,32.78919,Colonial Athletic Association
The Citadel,2643,Bulldogs,The Citadel,CIT,The Citadel Bulldogs,The Citadel,https://a.espncdn.com/i/teamlogos/ncaa/500/2643.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2643.png,-79.96013,32.78919,Southern Conference
West Virginia,277,Mountaineers,West Virginia,WVU,West Virginia Mountaineers,West Virginia,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/277.png,-79.9559,39.62953,Big 12 Conference
North Carolina A&T,2448,Aggies,NC A&T,NCAT,North Carolina A&T Aggies,NC A&T,https://a.espncdn.com/i/teamlogos/ncaa/500/2448.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2448.png,-79.81114,36.07097,Mid-Eastern Athletic Conference[q]
UNC Greensboro,2430,Spartans,UNC Greensboro,UNCG,UNC Greensboro Spartans,UNC Greensboro,https://a.espncdn.com/i/teamlogos/ncaa/500/2430.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2430.png,-79.81114,36.07097,Southern Conference
Elon,2210,Phoenix,Elon,ELON,Elon Phoenix,Elon,https://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2210.png,-79.50784,36.10466,Colonial Athletic Association
VMI,2678,Keydets,VMI,VMI,VMI Keydets,VMI,https://a.espncdn.com/i/teamlogos/ncaa/500/2678.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2678.png,-79.3738,37.8386,Southern Conference
Liberty,2335,Flames,Liberty,LIB,Liberty Flames,Liberty,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2335.png,-79.18119,37.39941,ASUN Conference[m]
Niagara,315,Purple Eagles,Niagara,NIAG,Niagara Purple Eagles,Niagara,https://a.espncdn.com/i/teamlogos/ncaa/500/315.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/315.png,-79.03893,43.13867,Metro Atlantic Athletic Conference
Coastal Carolina,324,Chanticleers,C. Carolina,CCAR,Coastal Carolina Chanticleers,C. Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/324.png,-79.0132,33.7938,Sun Belt Conference
Duke,150,Blue Devils,Duke,DUKE,Duke Blue Devils,Duke,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/150.png,-78.94001,36.00153,Atlantic Coast Conference
North Carolina Central,2428,Eagles,NC Central,NCCU,North Carolina Central Eagles,NC Central,https://a.espncdn.com/i/teamlogos/ncaa/500/2428.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2428.png,-78.89945,35.97459,Mid-Eastern Athletic Conference
Buffalo,2084,Bulls,Buffalo,BUFF,Buffalo Bulls,Buffalo,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2084.png,-78.87837,42.88645,Mid-American Conference
Canisius,2099,Golden Griffins,Canisius,CAN,Canisius Golden Griffins,Canisius,https://a.espncdn.com/i/teamlogos/ncaa/500/2099.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2099.png,-78.87837,42.88645,Metro Atlantic Athletic Conference
James Madison,256,Dukes,James Madison,JMU,James Madison Dukes,James Madison,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/256.png,-78.87694,38.43929,Colonial Athletic Association
Campbell,2097,Fighting Camels,Campbell,CAM,Campbell Fighting Camels,Campbell,https://a.espncdn.com/i/teamlogos/ncaa/500/2097.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2097.png,-78.7403,35.40988,Big South Conference
NC State,152,Wolfpack,NC State,NCST,NC State Wolfpack,NC State,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/152.png,-78.68862,35.72238,Atlantic Coast Conference
Virginia,258,Cavaliers,Virginia,UVA,Virginia Cavaliers,Virginia,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/258.png,-78.49833,38.03339,Atlantic Coast Conference
St. Bonaventure,179,Bonnies,St. Bonaventure,SBU,St. Bonaventure Bonnies,St. Bonaventure,https://a.espncdn.com/i/teamlogos/ncaa/500/179.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/179.png,-78.48252,42.07979,Atlantic 10 Conference
Longwood,2344,Lancers,Longwood,LONG,Longwood Lancers,Longwood,https://a.espncdn.com/i/teamlogos/ncaa/500/2344.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2344.png,-78.39604,37.29909,Big South Conference
UNC Wilmington,350,Seahawks,UNC Wilmington,UNCW,UNC Wilmington Seahawks,UNC Wilmington,https://a.espncdn.com/i/teamlogos/ncaa/500/350.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/350.png,-77.94471,34.22573,Colonial Athletic Association
Penn State,213,Nittany Lions,Penn State,PSU,Penn State Nittany Lions,Penn State,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png,-77.85722,40.80395,Big Ten Conference
