team,Conf,Week,value,team_id,mascot,nickname,abbreviation,display_name,short_name,color,alternate_color,logo,logo_dark
Alabama,SEC,7,11,333,Crimson Tide,Alabama,ALA,Alabama Crimson Tide,Alabama,690014,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png
Alabama,SEC,8,11,333,Crimson Tide,Alabama,ALA,Alabama Crimson Tide,Alabama,690014,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png
Alabama,SEC,17,5,333,Crimson Tide,Alabama,ALA,Alabama Crimson Tide,Alabama,690014,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png
Alabama,SEC,15,8,333,Crimson Tide,Alabama,ALA,Alabama Crimson Tide,Alabama,690014,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png
Alabama,SEC,16,6,333,Crimson Tide,Alabama,ALA,Alabama Crimson Tide,Alabama,690014,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png
Arizona State,Pac-12,6,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arizona State,Pac-12,5,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arizona State,Pac-12,10,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arizona State,Pac-12,7,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arizona State,Pac-12,8,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arizona State,Pac-12,9,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arizona State,Pac-12,1,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arizona State,Pac-12,2,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
