team,n_games,avg_expected_mov,avg_actual_mov,avg_perf_v_spread,color,logos,conference
Louisiana Tech,5,-5.4,3.4,8.8,#002d65,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,Conference USA
Louisville,5,1.1,4,2.9,#ad000a,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png,ACC
LSU,5,13,8.4,-4.6,#fdd023,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png,SEC
Marshall,5,11.8,13,1.2,#186329,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png,Conference USA
Maryland,5,12.6,11,-1.6,#D5002B,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,Big Ten
Memphis,5,7.7,5.2,-2.5,#003087,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png,American Athletic
Miami,5,8.9,3.4,-5.5,#004325,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,ACC
Miami (OH),4,-12.62,-10.5,2.12,#a4000c,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,Mid-American
Michigan,5,13.7,27,13.3,#00274c,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Big Ten
Michigan State,5,6.5,17.2,10.7,#18453B,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,Big Ten
Middle Tennessee,5,-7.2,0.6,7.8,#0079C2,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,Conference USA
Minnesota,5,6.1,4.8,-1.3,#981a31,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,Big Ten
Mississippi State,5,2.8,2.8,0,#762123,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,SEC
Missouri,5,8.9,-2.2,-11.1,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,SEC
Navy,4,-11,-16.5,-5.5,#131630,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,American Athletic
NC State,5,11,16.4,5.4,#EF1216,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,ACC
Nebraska,6,7.92,16.83,8.92,#F20017,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,Big Ten
Nevada,4,7.5,8.25,0.75,#153E5F,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,Mountain West
New Mexico,5,1.2,-10,-11.2,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,Mountain West
New Mexico State,6,-16.5,-12,4.5,#891216,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png,FBS Independents
North Carolina,5,14.6,12.6,-2,#99bfe5,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,ACC
North Texas,4,-6.38,-12.75,-6.38,#00853D,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,Conference USA
Northern Illinois,5,-6.1,-5,1.1,#F1122C,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,Mid-American
Northwestern,5,7.2,-5.2,-12.4,#372286,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png,Big Ten
Notre Dame,5,4.7,7.4,2.7,#00122b,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,FBS Independents
Ohio,4,6.62,-8.5,-15.12,#295A29,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png,Mid-American
Ohio State,5,23.4,23.8,0.4,#DE3121,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,Big Ten
Oklahoma,5,27.2,19.4,-7.8,#7b0000,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,Big 12
Oklahoma State,4,4.62,6.75,2.12,#FF6500,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,Big 12
