NAME,GEOID,variable,estimate
"Grayson County, Texas",48181,POP,136212
"Live Oak County, Texas",48297,POP,12207
"Palo Pinto County, Texas",48363,POP,29189
"Karnes County, Texas",48255,POP,15601
"DeWitt County, Texas",48123,POP,20160
"Callahan County, Texas",48059,POP,13943
"Cass County, Texas",48067,POP,30026
"Gregg County, Texas",48183,POP,123945
"Madison County, Texas",48313,POP,14284
"Lubbock County, Texas",48303,POP,310569
"Kaufman County, Texas",48257,POP,136154
"Kendall County, Texas",48259,POP,47431
"Floyd County, Texas",48153,POP,5712
"Bailey County, Texas",48017,POP,7000
"Chambers County, Texas",48071,POP,43837
"Bell County, Texas",48027,POP,362924
"Cameron County, Texas",48061,POP,423163
"Deaf Smith County, Texas",48117,POP,18546
"El Paso County, Texas",48141,POP,839238
"La Salle County, Texas",48283,POP,7520
"Terrell County, Texas",48443,POP,776
"Tyler County, Texas",48457,POP,21672
"Wheeler County, Texas",48483,POP,5056
"Archer County, Texas",48009,POP,8553
"Brewster County, Texas",48043,POP,9203
"Hidalgo County, Texas",48215,POP,868707
"Smith County, Texas",48423,POP,232751
"Crockett County, Texas",48105,POP,3464
"Haskell County, Texas",48207,POP,5658
"Howard County, Texas",48227,POP,36664
"Mills County, Texas",48333,POP,4873
"Montague County, Texas",48337,POP,19818
"Martin County, Minnesota",27091,POP,19683
"Smith County, Mississippi",28129,POP,15916
"Lamar County, Mississippi",28073,POP,63343
"Lee County, Mississippi",28081,POP,85436
"Tallahatchie County, Mississippi",28135,POP,13809
"Warren County, Mississippi",28149,POP,45381
"Clarke County, Mississippi",28023,POP,15541
"Montgomery County, Mississippi",28097,POP,9775
"Oktibbeha County, Mississippi",28105,POP,49587
"Webster County, Mississippi",28155,POP,9689
"Alcorn County, Mississippi",28003,POP,36953
"Clay County, Mississippi",28025,POP,19316
"Covington County, Mississippi",28031,POP,18636
"Humphreys County, Mississippi",28053,POP,8064
"Dauphin County, Pennsylvania",42043,POP,278299
"Alleghany County, North Carolina",37005,POP,11137
"Caldwell County, North Carolina",37027,POP,82178
"Catawba County, North Carolina",37035,POP,159551
"Cleveland County, North Carolina",37045,POP,97947
"Craven County, North Carolina",37049,POP,102139
"Edgecombe County, North Carolina",37065,POP,51472
"Granville County, North Carolina",37077,POP,60443
"Harnett County, North Carolina",37085,POP,135976
"Hoke County, North Carolina",37093,POP,55234
"Henderson County, North Carolina",37089,POP,117417
"Hyde County, North Carolina",37095,POP,4937
"Iredell County, North Carolina",37097,POP,181806
"Mecklenburg County, North Carolina",37119,POP,1110356
"Northampton County, North Carolina",37131,POP,19483
"Pitt County, North Carolina",37147,POP,180742
"Rowan County, North Carolina",37159,POP,142088
"Vance County, North Carolina",37181,POP,44535
"Cherokee County, North Carolina",37039,POP,28612
"Currituck County, North Carolina",37053,POP,27763
"Union County, North Carolina",37179,POP,239859
"Wilkes County, North Carolina",37193,POP,68412
"Nash County, North Carolina",37127,POP,94298
"Alexander County, North Carolina",37003,POP,37497
"Dare County, North Carolina",37055,POP,37009
"Warren County, North Carolina",37185,POP,19731
"Wilson County, North Carolina",37195,POP,81801
"Gates County, North Carolina",37073,POP,11562
"Graham County, North Carolina",37075,POP,8441
"Madison County, North Carolina",37115,POP,21755
"Pamlico County, North Carolina",37137,POP,12726
"Polk County, North Carolina",37149,POP,20724
"Randolph County, North Carolina",37151,POP,143667
"Stokes County, North Carolina",37169,POP,45591
"Washington County, North Carolina",37187,POP,11580
"Clay County, North Carolina",37043,POP,11231
"Cumberland County, North Carolina",37051,POP,335509
"Guilford County, North Carolina",37081,POP,537174
"Jackson County, North Carolina",37099,POP,43938
"Pasquotank County, North Carolina",37139,POP,39824
"Robeson County, North Carolina",37155,POP,130625
"Swain County, North Carolina",37173,POP,14271
"Wake County, North Carolina",37183,POP,1111761
"Anson County, North Carolina",37007,POP,24446
"Onondaga County, New York",36067,POP,460528
"Panola County, Texas",48365,POP,23194
"Sabine County, Texas",48403,POP,10542
"Sherman County, Texas",48421,POP,3022
"Swisher County, Texas",48437,POP,7397
"Hunt County, Texas",48231,POP,98594
"Camp County, Texas",48063,POP,13094
"Hansford County, Texas",48195,POP,5399
"Guadalupe County, Texas",48187,POP,166847
"Clay County, Texas",48077,POP,10471
"Hartley County, Texas",48205,POP,5576
"Hill County, Texas",48217,POP,36649
"Limestone County, Texas",48293,POP,23437
"Nacogdoches County, Texas",48347,POP,65204
"Parmer County, Texas",48369,POP,9605
"Parker County, Texas",48367,POP,142878
"Presidio County, Texas",48377,POP,6704
"Val Verde County, Texas",48465,POP,49025
"Culberson County, Texas",48109,POP,2171
"Ector County, Texas",48135,POP,166223
"Garza County, Texas",48169,POP,6229
"Glasscock County, Texas",48173,POP,1409
"Grimes County, Texas",48185,POP,28880
"Collin County, Texas",48085,POP,1034730
"Angelina County, Texas",48005,POP,86715
"Cottle County, Texas",48101,POP,1398
"Hays County, Texas",48209,POP,230191
"Brazoria County, Texas",48039,POP,374264
"Donley County, Texas",48129,POP,3278
"Atascosa County, Texas",48013,POP,51153
"Nolan County, Texas",48353,POP,14714
"Hudspeth County, Texas",48229,POP,4886
"Ward County, Texas",48475,POP,11998
"Harrison County, Texas",48203,POP,66553
"Menard County, Texas",48327,POP,2138
"Fayette County, Texas",48149,POP,25346
"Williamson County, Texas",48491,POP,590551
"Hutchinson County, Texas",48233,POP,20938
"Morris County, Texas",48343,POP,12388
"Orange County, Texas",48361,POP,83396
"Winkler County, Texas",48495,POP,8010
"Harris County, Texas",48201,POP,4713325
"Burnet County, Texas",48053,POP,48155
"Gillespie County, Texas",48171,POP,26988
"Dallas County, Texas",48113,POP,2635516
"McMullen County, Texas",48311,POP,743
"Young County, Texas",48503,POP,18010
"Johnson County, Texas",48251,POP,175817
"Hopkins County, Texas",48223,POP,37084
"Ochiltree County, Texas",48357,POP,9836
"Knox County, Texas",48275,POP,3664
"McLennan County, Texas",48309,POP,256623
"Concho County, Texas",48095,POP,2726
"Edwards County, Texas",48137,POP,1932
"Eastland County, Texas",48133,POP,18360
"Jeff Davis County, Texas",48243,POP,2274
"Jim Hogg County, Texas",48247,POP,5200
"Montgomery County, Texas",48339,POP,607391
"Dimmit County, Texas",48127,POP,10124
"Webb County, Texas",48479,POP,276652
"Armstrong County, Texas",48011,POP,1887
"Castro County, Texas",48069,POP,7530
"Platte County, Wyoming",56031,POP,8393
"Sheridan County, Wyoming",56033,POP,30485
"Big Horn County, Wyoming",56003,POP,11790
"Crook County, Wyoming",56011,POP,7584
"Park County, Wyoming",56029,POP,29194
"Middlesex County, Connecticut",09007,POP,162436
"Tolland County, Connecticut",09013,POP,150721
"Fairfield County, Connecticut",09001,POP,943332
"Washington County, Florida",12133,POP,25473
"Duval County, Florida",12031,POP,957755
"Bradford County, Florida",12007,POP,28201
"Brevard County, Florida",12009,POP,601942
"Clay County, Florida",12019,POP,219252
"Lafayette County, Florida",12067,POP,8422
"Lake County, Florida",12069,POP,367118
"Nassau County, Florida",12089,POP,88625
"Pinellas County, Florida",12103,POP,974996
"Polk County, Florida",12105,POP,724777
"St. Lucie County, Florida",12111,POP,328297
"Glades County, Florida",12043,POP,13811
"Hendry County, Florida",12051,POP,42022
"Indian River County, Florida",12061,POP,159923
"Jackson County, Florida",12063,POP,46414
"Palm Beach County, Florida",12099,POP,1496770
"St. Johns County, Florida",12109,POP,264672
"Miami-Dade County, Florida",12086,POP,2716940
"Bay County, Florida",12005,POP,174705
"Franklin County, Florida",12037,POP,12125
"Gulf County, Florida",12045,POP,13639
"Liberty County, Florida",12077,POP,8354
"Sumter County, Florida",12119,POP,132420
"Walton County, Florida",12131,POP,74071
"Holmes County, Florida",12059,POP,19617
"Jefferson County, Florida",12065,POP,14246
"Marion County, Florida",12083,POP,365579
"Collier County, Florida",12021,POP,384902
"Okeechobee County, Florida",12093,POP,42168
"Pasco County, Florida",12101,POP,553947
"Gilchrist County, Florida",12041,POP,18582
"Suwannee County, Florida",12121,POP,44417
"Alachua County, Florida",12001,POP,269043
"Calhoun County, Florida",12013,POP,14105
"Columbia County, Florida",12023,POP,71686
"Dixie County, Florida",12029,POP,16826
"Putnam County, Florida",12107,POP,74521
"Sarasota County, Florida",12115,POP,433742
"Manatee County, Florida",12081,POP,403253
"Citrus County, Florida",12017,POP,149657
"Baker County, Florida",12003,POP,29210
"Volusia County, Florida",12127,POP,553284
"Leon County, Florida",12073,POP,293582
"Madison County, Florida",12079,POP,18493
"Monroe County, Florida",12087,POP,74228
"Hernando County, Florida",12053,POP,193920
"Hillsborough County, Florida",12057,POP,1471968
"Taylor County, Florida",12123,POP,21569
"Lumpkin County, Georgia",13187,POP,33610
"McDuffie County, Georgia",13189,POP,21312
"Morgan County, Georgia",13211,POP,19276
"Heard County, Georgia",13149,POP,11923
"Dougherty County, Georgia",13095,POP,87956
"Henry County, Georgia",13151,POP,234561
"Houston County, Georgia",13153,POP,157863
"Mower County, Minnesota",27099,POP,40062
"Pine County, Minnesota",27115,POP,29579
"Olmsted County, Minnesota",27109,POP,158293
"Wadena County, Minnesota",27159,POP,13682
"Benton County, Minnesota",27009,POP,40889
"Freeborn County, Minnesota",27047,POP,30281
"McLeod County, Minnesota",27085,POP,35893
"Pope County, Minnesota",27121,POP,11249
"Stevens County, Minnesota",27149,POP,9805
"Swift County, Minnesota",27151,POP,9266
"Cottonwood County, Minnesota",27033,POP,11196
"Scott County, Minnesota",27139,POP,149013
"Wabasha County, Minnesota",27157,POP,21627
"Crow Wing County, Minnesota",27035,POP,65055
"Norman County, Minnesota",27107,POP,6375
"Nicollet County, Minnesota",27103,POP,34274
"Douglas County, Minnesota",27041,POP,38141
"Kittson County, Minnesota",27069,POP,4298
"Le Sueur County, Minnesota",27079,POP,28887
"Mahnomen County, Minnesota",27087,POP,5527
"Chisago County, Minnesota",27025,POP,56579
"Redwood County, Minnesota",27127,POP,15170
"Yellow Medicine County, Minnesota",27173,POP,9709
"Todd County, Minnesota",27153,POP,24664
"Beltrami County, Minnesota",27007,POP,47188
"Blue Earth County, Minnesota",27013,POP,67653
"Houston County, Minnesota",27055,POP,18600
"Lac qui Parle County, Minnesota",27073,POP,6623
"Lake of the Woods County, Minnesota",27077,POP,3740
"Otter Tail County, Minnesota",27111,POP,58746
"Waseca County, Minnesota",27161,POP,18612
"St. Louis County, Minnesota",27137,POP,199070
"Anoka County, Minnesota",27003,POP,356921
"Stearns County, Minnesota",27145,POP,161075
"Dakota County, Minnesota",27037,POP,429021
"Lincoln County, Minnesota",27081,POP,5639
"Lyon County, Minnesota",27083,POP,25474
"Mille Lacs County, Minnesota",27095,POP,26277
"Renville County, Minnesota",27129,POP,14548
"Carlton County, Minnesota",27017,POP,35871
"Cook County, Minnesota",27031,POP,5463
"Madison County, Missouri",29123,POP,12088
"Vernon County, Missouri",29217,POP,20563
"Nodaway County, Missouri",29147,POP,22092
"Chariton County, Missouri",29041,POP,7426
"Wayne County, Missouri",29223,POP,12873
"Scott County, Missouri",29201,POP,38280
"Barton County, Missouri",29011,POP,11754
"Cedar County, Missouri",29039,POP,14349
"Gasconade County, Missouri",29073,POP,14706
"Macon County, Missouri",29121,POP,15117
"Oregon County, Missouri",29149,POP,10529
"Ste. Genevieve County, Missouri",29186,POP,17894
"Douglas County, Missouri",29067,POP,13185
"Henry County, Missouri",29083,POP,21824
"Lawrence County, Missouri",29109,POP,38355
"Pulaski County, Missouri",29169,POP,52607
"Texas County, Missouri",29215,POP,25398
"Callaway County, Missouri",29027,POP,44743
"Polk County, Tennessee",47139,POP,16832
"White County, Tennessee",47185,POP,27345
"Sullivan County, Tennessee",47163,POP,158348
"Cameron County, Pennsylvania",42023,POP,4447
"Bucks County, Pennsylvania",42017,POP,628270
"Lehigh County, Pennsylvania",42077,POP,369318
"Clarion County, Pennsylvania",42031,POP,38438
"Greene County, Pennsylvania",42059,POP,36233
"Luzerne County, Pennsylvania",42079,POP,317417
"Columbia County, Pennsylvania",42037,POP,64964
"Jefferson County, Pennsylvania",42065,POP,43425
"Perry County, Pennsylvania",42099,POP,46272
"Sullivan County, Pennsylvania",42113,POP,6066
"Kent County, Rhode Island",44003,POP,164292
"Washington County, Rhode Island",44009,POP,125577
"Newberry County, South Carolina",45071,POP,38440
"Clarendon County, South Carolina",45027,POP,33745
"Sumter County, South Carolina",45085,POP,106721
"Barnwell County, South Carolina",45011,POP,20866
"Darlington County, South Carolina",45031,POP,66618
"York County, South Carolina",45091,POP,280979
"Cherokee County, South Carolina",45021,POP,57300
"Jasper County, South Carolina",45053,POP,30073
"Lee County, South Carolina",45061,POP,16828
"Abbeville County, South Carolina",45001,POP,24527
"Logan County, Ohio",39091,POP,45672
"Summit County, Ohio",39153,POP,541013
"Shelby County, Ohio",39149,POP,48590
"Williams County, Ohio",39171,POP,36692
"Guaynabo Municipio, Puerto Rico",72061,POP,83728
"Fajardo Municipio, Puerto Rico",72053,POP,29454
"Aguas Buenas Municipio, Puerto Rico",72007,POP,24814
"Hatillo Municipio, Puerto Rico",72065,POP,39218
"Santa Isabel Municipio, Puerto Rico",72133,POP,21209
"Mayagüez Municipio, Puerto Rico",72097,POP,71530
"Río Grande Municipio, Puerto Rico",72119,POP,48025
"Añasco Municipio, Puerto Rico",72011,POP,26161
"Cataño Municipio, Puerto Rico",72033,POP,23121
"Guánica Municipio, Puerto Rico",72055,POP,15383
"Loíza Municipio, Puerto Rico",72087,POP,24553
"Seminole County, Florida",12117,POP,471826
"Flagler County, Florida",12035,POP,115081
"Hamilton County, Florida",12047,POP,14428
"Osceola County, Florida",12097,POP,375751
"Gadsden County, Florida",12039,POP,45660
"Lee County, Florida",12071,POP,770577
"Hardee County, Florida",12049,POP,26937
"Orange County, Florida",12095,POP,1393452
"Highlands County, Florida",12055,POP,106221
"DeSoto County, Florida",12027,POP,38001
"Charlotte County, Florida",12015,POP,188910
"Monroe County, Alabama",01099,POP,20733
"Lawrence County, Alabama",01079,POP,32924
"Lee County, Alabama",01081,POP,164542
"Howard County, Arkansas",05061,POP,13202
"Garland County, Arkansas",05051,POP,99386
"Mississippi County, Arkansas",05093,POP,40651
"Pope County, Arkansas",05115,POP,64072
"Prairie County, Arkansas",05117,POP,8062
"Union County, Arkansas",05139,POP,38682
"Woodruff County, Arkansas",05147,POP,6320
"Cleburne County, Arkansas",05023,POP,24919
"Cleveland County, Arkansas",05025,POP,7956
"Jackson County, Arkansas",05067,POP,16719
"Hempstead County, Arkansas",05057,POP,21532
"Sharp County, Arkansas",05135,POP,17442
"Stone County, Arkansas",05137,POP,12506
"Washington County, Arkansas",05143,POP,239187
"Baxter County, Arkansas",05005,POP,41932
"Ashley County, Arkansas",05003,POP,19657
"Craighead County, Arkansas",05031,POP,110332
"Greene County, Arkansas",05055,POP,45325
"Lafayette County, Arkansas",05073,POP,6624
"Perry County, Arkansas",05105,POP,10455
"Poinsett County, Arkansas",05111,POP,23528
"Yell County, Arkansas",05149,POP,21341
"Calhoun County, Arkansas",05013,POP,5189
"Bradley County, Arkansas",05011,POP,10763
"Lawrence County, Arkansas",05075,POP,16406
"Polk County, Arkansas",05113,POP,19964
"Conway County, Arkansas",05029,POP,20846
"Newton County, Arkansas",05101,POP,7753
"Little River County, Arkansas",05081,POP,12259
"Lonoke County, Arkansas",05085,POP,73309
"Miller County, Arkansas",05091,POP,43257
"St. Francis County, Arkansas",05123,POP,24994
"White County, Arkansas",05145,POP,78753
"Merced County, California",06047,POP,277680
"Mariposa County, California",06043,POP,17203
"Yuba County, California",06115,POP,78668
"Contra Costa County, California",06013,POP,1153526
"Lassen County, California",06035,POP,30573
"Stanislaus County, California",06099,POP,550660
"Sonoma County, California",06097,POP,494336
"Tehama County, California",06103,POP,65084
"Mono County, California",06051,POP,14444
"San Benito County, California",06069,POP,62808
"Sacramento County, California",06067,POP,1552058
"Napa County, California",06055,POP,137744
"Monterey County, California",06053,POP,434061
"Sierra County, California",06091,POP,3005
"San Diego County, California",06073,POP,3338330
"Yolo County, California",06113,POP,220500
"Humboldt County, California",06023,POP,135558
"Alpine County, California",06003,POP,1129
"Madera County, California",06039,POP,157327
"Santa Cruz County, California",06087,POP,273213
"Union County, Georgia",13291,POP,24511
"Long County, Georgia",13183,POP,19559
"Spalding County, Georgia",13255,POP,66703
"Telfair County, Georgia",13271,POP,15860
"Washington County, Georgia",13303,POP,20374
"Winn Parish, Louisiana",22127,POP,13904
"East Baton Rouge Parish, Louisiana",22033,POP,440059
"Sabine Parish, Louisiana",22085,POP,23884
"Allen Parish, Louisiana",22003,POP,25627
"Madison Parish, Louisiana",22065,POP,10951
"Jefferson Davis Parish, Louisiana",22053,POP,31368
"St. James Parish, Louisiana",22093,POP,21096
"Grant Parish, Louisiana",22043,POP,22389
"West Feliciana Parish, Louisiana",22125,POP,15568
"Jefferson Parish, Louisiana",22051,POP,432493
"Beauregard Parish, Louisiana",22011,POP,37497
"Bienville Parish, Louisiana",22013,POP,13241
"Bossier Parish, Louisiana",22015,POP,127039
"Cameron Parish, Louisiana",22023,POP,6973
"East Feliciana Parish, Louisiana",22037,POP,19135
"St. John the Baptist Parish, Louisiana",22095,POP,42837
"Plaquemines Parish, Louisiana",22075,POP,23197
"Ouachita Parish, Louisiana",22073,POP,153279
"Rapides Parish, Louisiana",22079,POP,129648
"Washington Parish, Louisiana",22117,POP,46194
"Tangipahoa Parish, Louisiana",22105,POP,134758
"Acadia Parish, Louisiana",22001,POP,62045
"West Carroll Parish, Louisiana",22123,POP,10830
"St. Tammany Parish, Louisiana",22103,POP,260419
"Caldwell Parish, Louisiana",22021,POP,9918
"East Carroll Parish, Louisiana",22035,POP,6861
"Ascension Parish, Louisiana",22005,POP,126604
"Evangeline Parish, Louisiana",22039,POP,33395
"Iberia Parish, Louisiana",22045,POP,69830
"St. Bernard Parish, Louisiana",22087,POP,47244
"St. Helena Parish, Louisiana",22091,POP,10132
"West Baton Rouge Parish, Louisiana",22121,POP,26465
"De Soto Parish, Louisiana",22031,POP,27463
"Red River Parish, Louisiana",22081,POP,8442
"Morehouse Parish, Louisiana",22067,POP,24874
"Natchitoches Parish, Louisiana",22069,POP,38158
"Terrebonne Parish, Louisiana",22109,POP,110461
"Catahoula Parish, Louisiana",22025,POP,9494
"Claiborne Parish, Louisiana",22027,POP,15670
"Franklin Parish, Louisiana",22041,POP,20015
"Assumption Parish, Louisiana",22007,POP,21891
"Jackson Parish, Louisiana",22049,POP,15744
"Vermilion Parish, Louisiana",22113,POP,59511
"St. Charles Parish, Louisiana",22089,POP,53100
"Concordia Parish, Louisiana",22029,POP,19259
"LaSalle Parish, Louisiana",22059,POP,14892
"Oxford County, Maine",23017,POP,57975
"Waldo County, Maine",23027,POP,39715
"Penobscot County, Maine",23019,POP,152148
"Androscoggin County, Maine",23001,POP,108277
"Aroostook County, Maine",23003,POP,67055
"Cumberland County, Maine",23005,POP,295003
"Sagadahoc County, Maine",23023,POP,35856
"Cooper County, Missouri",29053,POP,17709
"Gentry County, Missouri",29075,POP,6571
"Mississippi County, Missouri",29133,POP,13180
"Ozark County, Missouri",29153,POP,9174
"Bollinger County, Missouri",29017,POP,12133
"Knox County, Missouri",29103,POP,3959
"Montgomery County, Missouri",29139,POP,11551
"Stoddard County, Missouri",29207,POP,29025
"Audrain County, Missouri",29007,POP,25388
"Greene County, Missouri",29077,POP,293086
"St. Clair County, Missouri",29185,POP,9397
"Schuyler County, Missouri",29197,POP,4660
"Camden County, Missouri",29029,POP,46305
"Jefferson County, Missouri",29099,POP,225081
"Perquimans County, North Carolina",37143,POP,13463
"Rockingham County, North Carolina",37157,POP,91010
"Camden County, North Carolina",37029,POP,10867
"Gaston County, North Carolina",37071,POP,224529
"Moore County, North Carolina",37125,POP,100880
"Stanly County, North Carolina",37167,POP,62806
"Yancey County, North Carolina",37199,POP,18069
"Chatham County, North Carolina",37037,POP,74470
"Johnston County, North Carolina",37101,POP,209339
"Person County, North Carolina",37145,POP,39490
"Ashe County, North Carolina",37009,POP,27203
"Lenoir County, North Carolina",37107,POP,55949
"Onslow County, North Carolina",37133,POP,197938
"Rutherford County, North Carolina",37161,POP,67029
"Yadkin County, North Carolina",37197,POP,37667
"Burke County, North Carolina",37023,POP,90485
"Traill County, North Dakota",38097,POP,8036
"Dickey County, North Dakota",38021,POP,4872
"Ward County, North Dakota",38101,POP,67641
"Pembina County, North Dakota",38067,POP,6801
"Hettinger County, North Dakota",38041,POP,2499
"Cass County, North Dakota",38017,POP,181923
"Emmons County, North Dakota",38029,POP,3241
"Richland County, North Dakota",38077,POP,16177
"Adams County, North Dakota",38001,POP,2216
"Eddy County, North Dakota",38027,POP,2287
"Mercer County, North Dakota",38057,POP,8187
"Martin County, Florida",12085,POP,161000
"Union County, Florida",12125,POP,15237
"Levy County, Florida",12075,POP,41503
"Santa Rosa County, Florida",12113,POP,184313
"Broward County, Florida",12011,POP,1952778
"Escambia County, Florida",12033,POP,318316
"Okaloosa County, Florida",12091,POP,210738
"Wakulla County, Florida",12129,POP,33739
"Miller County, Georgia",13201,POP,5718
"Oconee County, Georgia",13219,POP,40280
"Fannin County, Georgia",13111,POP,26188
"Laurens County, Georgia",13175,POP,47546
"Stephens County, Georgia",13257,POP,25925
"Upson County, Georgia",13293,POP,26320
"St. Landry Parish, Louisiana",22097,POP,82124
"St. Mary Parish, Louisiana",22101,POP,49348
"Union Parish, Louisiana",22111,POP,22108
"Caddo Parish, Louisiana",22017,POP,240204
"Lafayette Parish, Louisiana",22055,POP,244390
