team,n_games,avg_expected_mov,avg_actual_mov,avg_perf_v_spread,color,logos,conference
Louisiana Tech,4,-9.62,3.5,13.12,#002d65,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,Conference USA
Louisville,4,-6.12,-1.75,4.38,#ad000a,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png,ACC
LSU,4,6.5,3.75,-2.75,#fdd023,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png,SEC
Marshall,4,4.12,7.75,3.62,#186329,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png,Conference USA
Maryland,4,3.62,-1.75,-5.38,#D5002B,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,Big Ten
Memphis,4,4,0.25,-3.75,#003087,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png,American Athletic
Miami,4,-0.38,-13,-12.62,#004325,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,ACC
Miami (OH),4,-12.62,-10.5,2.12,#a4000c,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,Mid-American
Michigan,5,13.7,27,13.3,#00274c,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Big Ten
Michigan State,4,1,14.5,13.5,#18453B,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,Big Ten
Middle Tennessee,4,-11.12,-8,3.12,#0079C2,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,Conference USA
Minnesota,5,6.1,4.8,-1.3,#981a31,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,Big Ten
Mississippi State,5,2.8,2.8,0,#762123,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,SEC
Missouri,4,2.5,-10.5,-13,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,SEC
Navy,4,-11,-16.5,-5.5,#131630,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,American Athletic
NC State,4,6.88,11,4.12,#EF1216,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,ACC
Nebraska,5,1.1,11.2,10.1,#F20017,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,Big Ten
Nevada,3,-1.67,-2,-0.33,#153E5F,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,Mountain West
New Mexico,4,-4.88,-15,-10.12,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,Mountain West
New Mexico State,5,-20.5,-16,4.5,#891216,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png,FBS Independents
North Carolina,5,14.6,12.6,-2,#99bfe5,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,ACC
North Texas,3,-15.17,-27,-11.83,#00853D,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,Conference USA
Northern Illinois,4,-13,-13,0,#F1122C,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,Mid-American
Northwestern,4,1.88,-11,-12.88,#372286,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png,Big Ten
Notre Dame,5,4.7,7.4,2.7,#00122b,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,FBS Independents
