Celebrity,Appearances,Record,Win Pct,Last Appearance
Aaron Rodgers,1,8–2,0.8,3-Sep-16
Lt. Curtis Sharp,1,6–6,0.5,10-Nov-12
Mike Singletary,1,4–3,0.571,6-Dec-14
Marcus Smart,1,5–6,0.455,23-Nov-13
Bruce Smith,1,7–3,0.7,30-Sep-17
Emmitt Smith,1,10–2,0.833,5-Oct-19
Hope Solo,1,4–5,0.444,12-Oct-13
Lara Spencer,1,9–4,0.692,19-Oct-19
John Stockton,1,6–1,0.857,10-Oct-15
Picabo Street,1,6–3,0.667,25-Sep-10
Nick Swisher,1,8–1,0.889,28-Nov-09
Lt. Colonel Scott “Spike” Thomas,1,7–3,0.7,7-Nov-09
Justin Thomas,1,5–7,0.417,9-Nov-19
Thurman Thomas,1,8–3,0.727,4-Nov-17
Gabrielle Union,1,4–5,0.444,28-Sep-19
Dwyane Wade,1,4–5,0.444,28-Sep-19
Bill Walton,1,5–6,0.455,23-Oct-21
Bubba Watson,1,10–0,1,28-Sep-13
Lil Wayne,1,7–3,0.7,5-Nov-16
Jon Weiner,1,6–5,0.545,26-Sep-20
Brian Wilson,1,4–5,0.444,5-Nov-11
Gene Wojciechowski,1,4–6,0.4,14-Oct-17
Trae Young,1,7–2,0.778,14-Nov-20
